City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Eenhana,NA,2021-09-26 02:32:42,-17.4667,16.3333,67.75,20,0,7.87
1,Mount Gambier,AU,2021-09-26 02:32:42,-37.8333,140.7667,53.51,58,90,8.05
2,Novyy Urengoy,RU,2021-09-26 02:32:42,66.0833,76.6333,34.47,77,7,6.4
3,Sungaipenuh,ID,2021-09-26 02:32:43,-2.0833,101.3833,66.51,97,100,1.36
4,Hit,IQ,2021-09-26 02:32:43,33.6416,42.8251,70.27,27,0,11.34
5,Cravo Norte,CO,2021-09-26 02:32:43,6.3017,-70.2041,76.08,85,27,4.34
6,Mastung,PK,2021-09-26 02:32:44,29.7994,66.845,74.5,15,0,0.81
7,Bilma,NE,2021-09-26 02:32:44,18.6853,12.9164,81.36,22,1,10.18
8,Ushuaia,AR,2021-09-26 02:28:47,-54.8,-68.3,37.06,75,75,16.11
9,Ponta Do Sol,PT,2021-09-26 02:32:45,32.6667,-17.1,70.72,76,100,3.83
10,Olinda,BR,2021-09-26 02:32:45,-8.0089,-34.8553,76.73,73,40,10.36
11,Punta Arenas,CL,2021-09-26 02:32:30,-53.15,-70.9167,37.51,81,40,6.91
12,Port-Gentil,GA,2021-09-26 02:32:46,-0.7193,8.7815,76.8,88,100,11.01
13,Aquiraz,BR,2021-09-26 02:32:46,-3.9014,-38.3911,80.69,82,18,15.66
14,Tran,BG,2021-09-26 02:32:46,42.8353,22.6517,56.97,68,0,1.92
15,Alofi,NU,2021-09-26 02:32:47,-19.0595,-169.9187,78.69,53,25,5.75
16,Palm Beach,US,2021-09-26 02:32:47,26.6503,-80.4498,82.42,89,2,6.35
17,Coahuayana,MX,2021-09-26 02:32:47,18.7333,-103.6833,79.05,90,100,2.48
18,Puerto Ayora,EC,2021-09-26 02:32:48,-0.7393,-90.3518,69.4,90,81,7.72
19,Bathsheba,BB,2021-09-26 02:32:48,13.2167,-59.5167,79.41,89,40,4.61
20,Carauari,BR,2021-09-26 02:32:48,-4.8828,-66.8958,71.89,97,87,2.08
21,Mensdorf,LU,2021-09-26 02:32:49,49.6508,6.3036,62.33,94,42,6.91
22,Coihaique,CL,2021-09-26 02:32:49,-45.5752,-72.0662,35.55,80,0,2.3
23,Mar Del Plata,AR,2021-09-26 02:30:47,-38.0023,-57.5575,57.09,63,0,1.01
24,Tabou,CI,2021-09-26 02:32:50,4.423,-7.3528,76.44,90,100,9.33
25,Busselton,AU,2021-09-26 02:32:50,-33.65,115.3333,62.04,79,75,4.81
26,Port Lincoln,AU,2021-09-26 02:30:31,-34.7333,135.8667,57.6,61,64,16.26
27,Seversk,RU,2021-09-26 02:32:50,56.6006,84.8864,37.09,93,100,7.74
28,Mantua,IT,2021-09-26 02:32:51,45.1667,10.7833,69.28,84,22,3.0
29,Nikolskoye,RU,2021-09-26 02:32:51,59.7035,30.7861,48.09,93,100,9.04
30,Dikson,RU,2021-09-26 02:32:52,73.5069,80.5464,35.49,85,100,19.35
31,Sao Filipe,CV,2021-09-26 02:32:52,14.8961,-24.4956,77.59,76,36,2.86
32,Cockburn Town,TC,2021-09-26 02:32:52,21.4612,-71.1419,82.92,72,0,9.13
33,Sharan,RU,2021-09-26 02:32:52,54.8167,54.0,48.29,80,100,3.53
34,Mataura,NZ,2021-09-26 02:32:53,-46.1927,168.8643,48.47,84,68,5.77
35,Chuy,UY,2021-09-26 02:32:53,-33.6971,-53.4616,56.39,98,52,3.67
36,Ilhabela,BR,2021-09-26 02:28:09,-23.7781,-45.3581,66.47,91,45,2.26
37,Cape Town,ZA,2021-09-26 02:31:31,-33.9258,18.4232,59.41,91,75,5.75
38,Vaini,TO,2021-09-26 02:32:54,-21.2,-175.2,75.36,88,75,8.05
39,Srandakan,ID,2021-09-26 02:32:54,-7.9386,110.2506,84.56,68,72,12.53
40,Takoradi,GH,2021-09-26 02:32:54,4.8845,-1.7554,75.51,90,100,6.35
41,Kargil,IN,2021-09-26 02:32:55,34.5667,76.1,54.25,35,0,1.74
42,Dingle,PH,2021-09-26 02:32:55,10.9995,122.6711,87.04,67,42,3.56
43,Upernavik,GL,2021-09-26 02:32:55,72.7868,-56.1549,19.6,65,0,4.29
44,Talcahuano,CL,2021-09-26 02:30:15,-36.7167,-73.1167,49.68,87,20,5.75
45,Faya,SA,2021-09-26 02:32:56,18.3851,42.4509,59.52,26,28,6.17
46,Cherskiy,RU,2021-09-26 02:32:56,68.75,161.3,33.46,96,100,12.73
47,Atuona,PF,2021-09-26 02:32:57,-9.8,-139.0333,77.85,77,55,18.63
48,Saint Albans,GB,2021-09-26 02:29:45,51.75,-0.3333,57.9,98,90,4.61
49,Rikitea,PF,2021-09-26 02:32:57,-23.1203,-134.9692,73.76,74,97,16.26
50,Kapaa,US,2021-09-26 02:32:58,22.0752,-159.319,84.18,73,75,5.01
51,Grivita,RO,2021-09-26 02:32:58,44.7333,27.2833,58.75,57,0,2.51
52,Saint-Francois,FR,2021-09-26 02:32:58,46.4154,3.9054,60.24,93,100,3.44
53,Geraldton,AU,2021-09-26 02:32:59,-28.7667,114.6,68.41,52,75,14.97
54,Talnakh,RU,2021-09-26 02:32:59,69.4865,88.3972,35.56,57,95,2.1
55,Urzhum,RU,2021-09-26 02:33:00,57.1141,49.9996,43.84,90,100,4.18
56,Kodiak,US,2021-09-26 02:33:00,57.79,-152.4072,41.54,70,37,8.84
57,Arraial Do Cabo,BR,2021-09-26 02:32:08,-22.9661,-42.0278,70.5,79,100,26.82
58,Sao Joao Da Barra,BR,2021-09-26 02:33:01,-21.6403,-41.0511,71.71,77,60,22.7
59,Jamestown,US,2021-09-26 02:33:01,42.097,-79.2353,57.52,91,1,4.0
60,Lebu,CL,2021-09-26 02:33:01,-37.6167,-73.65,47.32,85,18,9.06
61,Avarua,CK,2021-09-26 02:33:02,-21.2078,-159.775,77.05,73,90,9.22
62,Tasiilaq,GL,2021-09-26 02:33:02,65.6145,-37.6368,37.56,61,97,6.38
63,Butaritari,KI,2021-09-26 02:33:03,3.0707,172.7902,82.81,76,13,11.45
64,Cangucu,BR,2021-09-26 02:33:03,-31.395,-52.6756,53.44,95,3,2.3
65,Hermanus,ZA,2021-09-26 02:33:04,-34.4187,19.2345,58.89,88,85,6.62
66,Hithadhoo,MV,2021-09-26 02:33:04,-0.6,73.0833,81.88,76,100,16.31
67,Saskylakh,RU,2021-09-26 02:33:04,71.9167,114.0833,33.6,88,100,17.4
68,Hobart,AU,2021-09-26 02:31:44,-42.8794,147.3294,55.06,54,20,12.66
69,Ariquemes,BR,2021-09-26 02:33:05,-9.9133,-63.0408,76.44,73,8,2.35
70,Pangai,TO,2021-09-26 02:33:05,-19.8,-174.35,72.61,59,80,11.16
71,Ancud,CL,2021-09-26 02:33:06,-41.8697,-73.8203,40.53,70,4,5.93
72,Asau,RO,2021-09-26 02:33:06,46.4333,26.4,52.39,86,0,5.37
73,Sol-Iletsk,RU,2021-09-26 02:33:06,51.1631,54.9918,49.08,77,100,8.61
74,Medicine Hat,CA,2021-09-26 02:33:07,50.0501,-110.6683,72.03,36,40,5.75
75,Pevek,RU,2021-09-26 02:33:07,69.7008,170.3133,30.16,96,100,11.92
76,Grindavik,IS,2021-09-26 02:33:07,63.8424,-22.4338,41.47,70,0,23.02
77,Ribeira Grande,PT,2021-09-26 02:33:08,38.5167,-28.7,71.15,83,100,4.23
78,Lompoc,US,2021-09-26 02:32:37,34.6391,-120.4579,65.79,88,75,8.05
79,Port Said,EG,2021-09-26 02:33:08,31.2565,32.2841,76.98,65,20,12.66
80,Tiksi,RU,2021-09-26 02:33:08,71.6872,128.8694,34.07,85,100,20.98
81,Tres Arroyos,AR,2021-09-26 02:33:09,-38.3739,-60.2798,56.82,73,60,15.52
82,Copiapo,CL,2021-09-26 02:33:09,-27.3667,-70.3333,51.49,51,0,1.5
83,Khatanga,RU,2021-09-26 02:33:09,71.9667,102.5,33.24,76,96,12.24
84,Srednekolymsk,RU,2021-09-26 02:33:10,67.45,153.6833,36.77,77,100,15.1
85,Alice Springs,AU,2021-09-26 02:33:10,-23.7,133.8833,80.15,12,0,13.8
86,Bluff,NZ,2021-09-26 02:33:10,-46.6,168.3333,48.79,56,75,14.61
87,Senneterre,CA,2021-09-26 02:33:11,48.3835,-77.2328,50.22,96,100,5.79
88,Trat,TH,2021-09-26 02:33:11,12.5,102.5,80.91,89,100,1.43
89,Komsomolskiy,UZ,2021-09-26 02:33:11,40.4272,71.7189,61.52,36,0,4.61
90,Falmouth,GB,2021-09-26 02:33:12,50.1544,-5.0711,57.78,100,75,4.61
91,Saint George,US,2021-09-26 02:32:06,37.1041,-113.5841,86.47,25,1,3.0
92,Kaolack,SN,2021-09-26 02:33:12,14.1825,-16.2533,79.3,82,89,5.08
93,Hilo,US,2021-09-26 02:33:13,19.7297,-155.09,82.13,83,75,11.5
94,Zhigansk,RU,2021-09-26 02:33:13,66.7697,123.3711,38.08,67,25,15.55
95,Kamenka,RU,2021-09-26 02:33:13,51.3223,42.7678,47.71,84,100,10.27
96,Vila Franca Do Campo,PT,2021-09-26 02:33:14,37.7167,-25.4333,72.19,90,100,9.28
97,Barrow,US,2021-09-26 02:33:14,71.2906,-156.7887,26.62,86,90,4.61
98,Neiafu,TO,2021-09-26 02:33:14,-18.65,-173.9833,79.48,53,20,8.05
99,Brawley,US,2021-09-26 02:33:15,32.9787,-115.5303,90.1,35,5,3.44
100,Yumen,CN,2021-09-26 02:33:15,40.2833,97.2,59.9,28,0,6.49
101,Vestmannaeyjar,IS,2021-09-26 02:33:15,63.4427,-20.2734,40.78,74,100,4.97
102,Vercelli,IT,2021-09-26 02:33:16,45.3231,8.4153,68.31,87,100,3.87
103,Portland,US,2021-09-26 02:32:56,45.5234,-122.6762,77.59,54,1,1.01
104,Sribne,UA,2021-09-26 02:33:16,50.6638,32.9187,52.77,94,75,14.43
105,Grants,US,2021-09-26 02:33:16,35.1473,-107.8514,55.63,82,1,5.75
106,Paita,PE,2021-09-26 02:33:17,-5.0892,-81.1144,64.45,86,76,13.73
107,Nibong Tebal,MY,2021-09-26 02:33:17,5.1659,100.4779,88.95,71,78,6.02
108,Palembang,ID,2021-09-26 02:33:17,-2.9167,104.7458,84.29,79,75,4.61
109,Samarinda,ID,2021-09-26 02:33:18,-0.5,117.15,85.91,69,100,3.62
110,Beloha,MG,2021-09-26 02:33:18,-25.1667,45.05,65.93,76,0,6.69
111,Gat,IL,2021-09-26 02:33:19,31.61,34.7642,72.39,61,0,3.98
112,Nanortalik,GL,2021-09-26 02:33:19,60.1432,-45.2371,37.6,74,3,4.41
113,Valparaiso,CL,2021-09-26 02:33:19,-33.0393,-71.6273,56.48,67,0,4.61
114,Santa Maria Da Vitoria,BR,2021-09-26 02:33:20,-13.3947,-44.1886,79.21,39,25,7.11
115,Paragominas,BR,2021-09-26 02:33:20,-2.9667,-47.4833,74.61,81,100,5.55
116,San Patricio,US,2021-09-26 02:33:21,28.017,-97.5169,77.85,59,16,6.89
117,Sur,OM,2021-09-26 02:33:21,22.5667,59.5289,86.41,57,79,5.48
118,Ahipara,NZ,2021-09-26 02:33:21,-35.1667,173.1667,59.68,86,100,9.37
119,Saryg-Sep,RU,2021-09-26 02:33:21,51.5,95.6,41.79,36,100,4.27
120,Whitehorse,CA,2021-09-26 02:30:14,60.7161,-135.0538,45.37,49,75,3.0
121,Bardiyah,LY,2021-09-26 02:33:22,31.7561,25.0865,70.75,58,0,5.28
122,Bethel,US,2021-09-26 02:31:16,41.3712,-73.414,62.91,90,1,3.44
123,Henties Bay,NA,2021-09-26 02:33:23,-22.116,14.2845,53.85,92,2,2.44
124,Qaanaaq,GL,2021-09-26 02:33:23,77.484,-69.3632,18.99,69,96,7.0
125,Luderitz,NA,2021-09-26 02:33:23,-26.6481,15.1594,61.2,48,9,11.86
126,Airai,TL,2021-09-26 02:33:24,-8.9266,125.4092,80.92,31,80,3.29
127,San Quintin,MX,2021-09-26 02:33:24,30.4833,-115.95,68.13,84,43,7.92
128,Albanel,CA,2021-09-26 02:33:24,48.8832,-72.4487,55.54,88,100,5.75
129,Grand Forks,US,2021-09-26 02:33:25,47.9417,-97.4337,66.13,48,1,9.22
130,Rocha,UY,2021-09-26 02:33:25,-34.4833,-54.3333,57.16,96,88,0.54
131,Acapulco,MX,2021-09-26 02:33:08,16.8634,-99.8901,80.78,84,99,3.85
132,Victoria,HK,2021-09-26 02:30:23,22.2855,114.1577,86.97,76,7,4.0
133,Thompson,CA,2021-09-26 02:33:26,55.7435,-97.8558,48.36,81,90,3.44
134,Port Alfred,ZA,2021-09-26 02:33:26,-33.5906,26.891,60.67,75,33,11.25
135,Santa Maria,BR,2021-09-26 02:33:26,-29.6842,-53.8069,54.7,100,0,2.3
136,Togur,RU,2021-09-26 02:33:27,58.3631,82.8265,34.93,98,100,9.48
137,Mayo,US,2021-09-26 02:33:27,38.8876,-76.5119,66.22,87,1,0.0
138,Council Bluffs,US,2021-09-26 02:30:59,41.2619,-95.8608,72.37,54,1,9.22
139,Riyadh,SA,2021-09-26 02:32:33,24.6877,46.7219,78.94,26,0,6.64
140,New Norfolk,AU,2021-09-26 02:33:28,-42.7826,147.0587,54.72,36,6,3.6
141,Port Elizabeth,ZA,2021-09-26 02:33:28,-33.918,25.5701,61.09,72,0,10.36
142,Hofn,IS,2021-09-26 02:33:28,64.2539,-15.2082,40.69,84,100,17.29
143,Lavrentiya,RU,2021-09-26 02:33:29,65.5833,-171.0,32.74,81,99,2.95
144,Kununurra,AU,2021-09-26 02:33:29,-15.7667,128.7333,91.38,33,0,6.91
145,Sambava,MG,2021-09-26 02:33:29,-14.2667,50.1667,70.61,78,65,13.38
146,Kaitangata,NZ,2021-09-26 02:33:30,-46.2817,169.8464,46.18,66,98,10.51
147,Itoman,JP,2021-09-26 02:33:30,26.1247,127.6694,89.62,66,40,9.22
148,Hay River,CA,2021-09-26 02:29:45,60.8156,-115.7999,44.58,81,20,1.14
149,Sao Francisco Do Sul,BR,2021-09-26 02:33:31,-26.2433,-48.6381,69.1,94,75,1.14
150,Pozo Colorado,PY,2021-09-26 02:33:31,-23.4923,-58.7972,71.35,33,0,5.77
151,Georgetown,MY,2021-09-26 02:33:31,5.4112,100.3354,88.9,72,20,7.0
152,Lagoa,PT,2021-09-26 02:33:32,39.05,-27.9833,69.69,85,100,8.63
153,Campoverde,PE,2021-09-26 02:33:32,-8.4753,-74.8058,74.89,77,74,4.03
154,Oriximina,BR,2021-09-26 02:33:32,-1.7656,-55.8661,75.88,76,5,3.22
155,Yellowknife,CA,2021-09-26 02:33:33,62.456,-114.3525,43.29,85,40,1.01
156,Katsuura,JP,2021-09-26 02:33:33,35.1333,140.3,73.18,60,99,13.33
157,Quatre Cocos,MU,2021-09-26 02:33:34,-20.2078,57.7625,71.71,75,21,16.4
158,Ostersund,SE,2021-09-26 02:33:34,63.1792,14.6357,45.05,76,90,10.36
159,Courtenay,CA,2021-09-26 02:33:34,49.6866,-124.9936,64.2,83,90,4.61
160,Port Hedland,AU,2021-09-26 02:33:35,-20.3167,118.5667,89.65,19,0,8.05
161,Saint-Philippe,RE,2021-09-26 02:33:35,-21.3585,55.7679,67.55,84,58,14.7
162,Torbay,CA,2021-09-26 02:33:35,47.6666,-52.7314,47.26,89,75,9.22
163,Meulaboh,ID,2021-09-26 02:33:36,4.1363,96.1285,80.83,78,100,8.63
164,San Cristobal,VE,2021-09-26 02:33:36,7.7669,-72.225,77.18,97,66,4.0
165,East London,ZA,2021-09-26 02:33:36,-33.0153,27.9116,64.08,58,68,12.75
166,Leningradskiy,RU,2021-09-26 02:33:36,69.3833,178.4167,30.63,79,100,6.96
167,Akhtubinsk,RU,2021-09-26 02:33:37,48.2795,46.1722,48.92,91,9,8.14
168,Saint-Louis,SN,2021-09-26 02:33:37,16.3333,-15.0,85.64,47,61,9.95
169,Bambous Virieux,MU,2021-09-26 02:33:38,-20.3428,57.7575,71.85,78,75,13.8
170,Egvekinot,RU,2021-09-26 02:33:38,66.3167,-179.1667,25.14,66,96,2.84
171,Provideniya,RU,2021-09-26 02:33:38,64.3833,-173.3,33.98,89,93,3.18
172,Aguimes,ES,2021-09-26 02:33:39,27.9054,-15.4461,70.43,76,40,11.5
173,Iqaluit,CA,2021-09-26 02:33:39,63.7506,-68.5145,33.53,74,90,10.0
174,Kumluca,TR,2021-09-26 02:33:40,36.3703,30.2869,73.44,39,0,5.26
175,Pudozh,RU,2021-09-26 02:33:09,61.8099,36.5345,46.27,96,100,5.91
176,Saldanha,ZA,2021-09-26 02:33:40,-33.0117,17.9442,59.05,96,8,8.95
177,Husavik,IS,2021-09-26 02:33:40,66.0449,-17.3389,39.11,93,100,24.2
178,Clyde River,CA,2021-09-26 02:33:41,70.4692,-68.5914,26.55,92,13,5.99
179,Gobabis,NA,2021-09-26 02:33:41,-22.45,18.9667,64.06,16,0,12.28
180,Waipawa,NZ,2021-09-26 02:33:41,-41.4122,175.5153,55.02,63,59,9.69
181,Marsh Harbour,BS,2021-09-26 02:33:42,26.5412,-77.0636,81.16,74,89,7.76
182,Gornopravdinsk,RU,2021-09-26 02:33:42,60.05,69.9,33.78,78,11,6.29
183,Leiyang,CN,2021-09-26 02:33:42,26.4024,112.8591,98.38,37,0,0.63
184,Klaksvik,FO,2021-09-26 02:33:43,62.2266,-6.589,52.72,94,100,30.24
185,Keetmanshoop,NA,2021-09-26 02:33:43,-26.5833,18.1333,65.32,25,53,3.13
186,Liverpool,GB,2021-09-26 02:29:58,53.4106,-2.9779,63.63,87,20,3.0
187,Dali,CN,2021-09-26 02:33:43,25.7,100.1833,67.5,79,83,1.39
188,Huilong,CN,2021-09-26 02:33:44,31.8111,121.655,82.98,70,75,12.1
189,Brandfort,ZA,2021-09-26 02:33:44,-28.7001,26.4597,49.41,30,85,3.53
190,Albany,US,2021-09-26 02:29:42,42.6001,-73.9662,60.58,89,100,1.81
191,Ishim,RU,2021-09-26 02:33:45,56.1128,69.4902,33.51,77,49,9.1
192,Helena,US,2021-09-26 02:33:45,46.5927,-112.0361,74.39,34,1,1.99
193,Russell,US,2021-09-26 02:31:33,32.3502,-85.1999,65.8,93,1,0.0
194,Jerome,US,2021-09-26 02:33:46,42.7241,-114.5186,70.63,38,1,4.61
195,Chokurdakh,RU,2021-09-26 02:33:46,70.6333,147.9167,33.15,97,100,14.05
196,Fairbanks,US,2021-09-26 02:33:47,64.8378,-147.7164,35.56,88,75,0.0
197,Pafos,CY,2021-09-26 02:30:17,34.7667,32.4167,67.78,64,0,1.14
198,Tateyama,JP,2021-09-26 02:33:47,34.9833,139.8667,73.09,60,95,12.24
199,Wajima,JP,2021-09-26 02:33:47,37.4,136.9,68.68,94,75,4.61
200,Ulaanbaatar,MN,2021-09-26 02:31:23,47.9077,106.8832,37.53,70,75,8.95
201,Sulangan,PH,2021-09-26 02:33:48,11.1373,123.7228,83.53,71,76,3.0
202,Selikhino,RU,2021-09-26 02:33:48,50.3672,137.4996,64.69,48,1,8.32
203,Zakamensk,RU,2021-09-26 02:33:49,50.3741,103.2863,37.54,86,94,1.54
204,Birobidzhan,RU,2021-09-26 02:33:49,48.8,132.95,68.13,43,0,3.83
205,Mandali,IQ,2021-09-26 02:33:49,33.7499,45.5541,75.06,29,0,10.18
206,Matagami,CA,2021-09-26 02:33:50,49.7502,-77.6328,50.11,100,90,12.66
207,Port Blair,IN,2021-09-26 02:33:50,11.6667,92.75,82.36,82,98,13.31
208,Utica,US,2021-09-26 02:33:51,43.1009,-75.2327,62.78,85,100,3.22
209,Ugoofaaru,MV,2021-09-26 02:33:51,5.6667,73.0,79.18,88,100,27.92
210,Katherine,AU,2021-09-26 02:33:51,-14.4667,132.2667,91.72,31,26,5.75
211,Sabang,ID,2021-09-26 02:33:52,5.8933,95.3214,81.41,76,100,17.52
212,Kijang,KR,2021-09-26 02:33:52,35.2442,129.2139,76.73,62,100,18.45
213,Bredasdorp,ZA,2021-09-26 02:33:53,-34.5322,20.0403,60.12,82,84,5.75
214,Waddan,LY,2021-09-26 02:33:53,29.1614,16.139,66.87,64,0,4.59
215,Zhoucun,CN,2021-09-26 02:33:54,36.8167,117.8167,64.74,95,100,8.86
216,Karratha,AU,2021-09-26 02:33:54,-20.7377,116.8463,84.15,24,0,14.56
217,Cayenne,GF,2021-09-26 02:33:55,4.9333,-52.3333,83.08,83,63,1.99
218,Road Town,VG,2021-09-26 02:29:53,18.4167,-64.6167,82.2,74,1,10.4
219,Hamilton,US,2021-09-26 02:33:55,39.1834,-84.5333,57.43,80,1,0.0
220,Palmer,US,2021-09-26 02:33:47,42.1584,-72.3287,64.67,85,40,0.0
221,Rantepao,ID,2021-09-26 02:33:55,-2.9701,119.8978,81.48,63,84,3.89
222,Xining,CN,2021-09-26 02:33:56,36.6167,101.7667,59.99,57,100,4.83
223,Roebourne,AU,2021-09-26 02:33:56,-20.7833,117.1333,85.44,22,0,14.41
224,Pavilosta,LV,2021-09-26 02:33:57,56.8879,21.1859,42.75,80,11,5.26
225,Kimry,RU,2021-09-26 02:33:57,56.8667,37.35,46.54,98,100,7.23
226,Castro,BR,2021-09-26 02:33:57,-24.7911,-50.0119,59.09,90,34,5.66
227,Faanui,PF,2021-09-26 02:33:58,-16.4833,-151.75,79.03,74,1,6.51
228,Vysokopillya,UA,2021-09-26 02:33:58,47.4919,33.5306,57.58,81,15,11.03
229,Fortuna,US,2021-09-26 02:33:58,40.5982,-124.1573,61.41,94,40,11.5
230,Hasaki,JP,2021-09-26 02:30:51,35.7333,140.8333,72.28,56,99,11.27
231,Inhambane,MZ,2021-09-26 02:33:59,-23.865,35.3833,67.73,88,0,5.61
232,Balclutha,NZ,2021-09-26 02:33:59,-46.2339,169.75,45.59,70,99,6.22
233,Sept-Iles,CA,2021-09-26 02:31:35,50.2001,-66.3821,53.06,97,90,3.0
234,Kikwit,CD,2021-09-26 02:33:59,-5.041,18.8162,71.26,81,26,1.97
235,Morant Bay,JM,2021-09-26 02:34:00,17.8815,-76.4093,85.62,81,0,5.79
236,Kuli,RU,2021-09-26 02:34:00,42.0185,47.2434,41.34,99,96,4.03
237,Iturama,BR,2021-09-26 02:34:01,-19.7281,-50.1956,81.46,32,60,4.21
238,Brae,GB,2021-09-26 02:34:01,60.3964,-1.353,53.51,95,81,13.67
239,Gizo,SB,2021-09-26 02:34:01,-8.103,156.8419,83.91,71,78,2.46
240,Okhotsk,RU,2021-09-26 02:34:02,59.3833,143.3,55.9,51,76,12.95
241,Alasehir,TR,2021-09-26 02:34:02,38.3508,28.5172,60.64,57,0,2.57
242,Coquimbo,CL,2021-09-26 02:34:02,-29.9533,-71.3436,55.13,87,0,2.3
243,Bolshoy Lug,RU,2021-09-26 02:34:03,52.0779,104.0919,39.38,90,100,6.4
244,Buraydah,SA,2021-09-26 02:34:03,26.326,43.975,79.25,27,2,7.7
245,Makakilo City,US,2021-09-26 02:34:03,21.3469,-158.0858,82.72,61,75,11.5
246,Sola,VU,2021-09-26 02:34:04,-13.8833,167.55,78.67,79,43,14.83
247,Ratangarh,IN,2021-09-26 02:34:04,28.0833,74.6,83.91,65,84,9.91
248,Anadyr,RU,2021-09-26 02:34:04,64.75,177.4833,34.3,74,20,5.99
249,Babushkin,RU,2021-09-26 02:34:05,51.7122,105.8647,40.66,81,99,20.07
250,Madisonville,US,2021-09-26 02:29:39,37.3281,-87.4989,57.24,99,0,3.0
251,Westerland,DE,2021-09-26 02:34:05,54.9079,8.3033,59.02,94,75,6.91
252,Pochutla,MX,2021-09-26 02:34:06,15.7432,-96.4661,78.82,91,93,4.09
253,Kushima,JP,2021-09-26 02:34:06,31.4583,131.2333,85.51,70,61,11.88
254,Igarka,RU,2021-09-26 02:34:06,67.4667,86.5833,37.44,58,8,9.13
255,Ola,RU,2021-09-26 02:33:10,59.5833,151.2833,50.11,69,100,2.57
256,Port Moresby,PG,2021-09-26 02:34:07,-9.4431,147.1797,87.22,70,40,17.27
257,Hambantota,LK,2021-09-26 02:34:07,6.1241,81.1185,80.94,89,40,11.5
258,Bengkulu,ID,2021-09-26 02:34:07,-3.8004,102.2655,74.32,96,100,6.53
259,Ngorongoro,TZ,2021-09-26 02:34:08,-3.2397,35.4875,46.98,92,50,5.28
260,Ostrovnoy,RU,2021-09-26 02:34:08,68.0531,39.5131,45.34,81,100,3.62
261,Karia,NG,2021-09-26 02:34:08,11.7306,11.1629,74.21,77,39,8.25
262,Doha,QA,2021-09-26 02:32:29,25.2867,51.5333,87.78,70,0,5.75
263,Yarada,IN,2021-09-26 02:34:09,17.65,83.2667,79.12,100,90,2.3
264,Santa Isabel Do Rio Negro,BR,2021-09-26 02:34:09,-0.4139,-65.0192,72.09,98,82,1.66
265,Tuatapere,NZ,2021-09-26 02:34:10,-46.1333,167.6833,48.81,68,75,10.85
266,Acarau,BR,2021-09-26 02:30:12,-2.8856,-40.12,78.64,78,13,19.08
267,Mahur,IN,2021-09-26 02:34:10,25.1667,93.1167,83.34,58,3,1.74
268,Mao,ES,2021-09-26 02:34:10,39.8885,4.2658,75.76,94,75,3.44
269,Esperance,AU,2021-09-26 02:34:11,-33.8667,121.9,71.44,44,30,8.48
270,Marzuq,YE,2021-09-26 02:34:11,14.4,46.4667,75.06,35,57,2.39
271,Sibolga,ID,2021-09-26 02:34:11,1.7427,98.7792,84.56,70,91,2.95
272,Jiangyou,CN,2021-09-26 02:34:12,31.7667,104.7167,70.45,93,100,4.9
273,Pogar,RU,2021-09-26 02:34:12,52.554,33.2591,49.8,88,89,13.47
274,Itarema,BR,2021-09-26 02:34:12,-2.9248,-39.9167,78.49,79,10,18.16
275,Souillac,MU,2021-09-26 02:34:13,-20.5167,57.5167,71.98,78,75,13.8
276,Norman Wells,CA,2021-09-26 02:34:13,65.282,-126.8329,33.84,93,75,17.27
277,Severo-Kurilsk,RU,2021-09-26 02:32:14,50.6789,156.125,49.96,78,56,12.86
278,Ukiah,US,2021-09-26 02:32:59,39.1502,-123.2078,69.37,78,3,3.29
279,Susanville,US,2021-09-26 02:31:03,40.4163,-120.653,60.46,31,0,6.2
280,Vanimo,PG,2021-09-26 02:34:14,-2.6741,141.3028,87.1,61,82,6.89
281,Isangel,VU,2021-09-26 02:34:14,-19.55,169.2667,75.43,58,4,9.37
282,Luwuk,ID,2021-09-26 02:34:15,-0.9516,122.7875,85.78,65,74,7.16
